PROCUREMENT GROUP (CRS037),Unnamed: 1,Unnamed: 2,PRODUCT CODE (CRS035),Unnamed: 4,Unnamed: 5
CODE,NAME,DESCRIPTION,CODE,NAME,DESCRIPTION
ACT,ACTIVE,ELECTRONICS COMPONENT,DIODE,DIODE,"DIODE, SUPPRESSORS, TRANSZORB"
,,,IC,INTEGRATED CIR,"LOGICS, VOLTAGE REGULATOR, OPTO"
,,,LED,LED,LED
,,,MEMRY,MEMORY IC,"MEMORY, FLASH, RAM, MICRO CONTROLLER"
,,,XSTOR,TRANSISTOR,"TRANSISTOR, THYRISTOR"
CAS,,CUSTOMER APPOINTED SUPPLIER,>>>>,>>>>,REF PROCUREMENT & PRODUCT CODE
CSP,CUSTOMER,CUSTOMER CONSIGN / SUPPORT PART,CSP,CUSTOMER PART,CUSTOMER CONSIGN/SUPPORT PART
CUT,DIE-CUT,DIE-CUT PRODUCT,D-CUT,DIE-CUT PRODUCT,"PC LEXAN NAMEPLATE, OVERLAY, INSULATION/METAL SHEET"
EM,ELECTRO MECH,ELECTRO-MECHANICAL PART,BATT,BATTERY,ALL TYPES OF BATTERIES
,,,CBASY,CABLE ASSY,"CABLE ASSEMBLY, POWER CORD"
,,,CONNT,CONN & HEADERS,"CONN,PLUG,TERMINAL,USB,JACK,SHUNT"
,,,DISP,DISPLAYS,"LCD/LED DISPLAY, MONITOR"
,,,FANS,FANS,FANS
,,,HEATS,HEAT SINK,HEAT SINK / DISSIPATION
,,,PSU,POWER SUPPLY,POWER SUPPLY
,,,RFDVC,RF DEVICES,"ANTENNA,BUZZER, SPEAKER, WIRELESS MODULE"
,,,SWTCH,SWITCHES,"SWITCH, ENCODERS"
,,,TRFMR,TRANSFORMER,TRANSFORMER
FG,FINISHED GOODS,FINISHED PRODUCT,FG,FINISHED GOODS,FINISHED PRODUCT
HWR,HARDWARE,HARDWARE,ACCES,ACCESSORY,"BATT/FUSE HOLDER,CLIP,LUG,CABLE TIE "
,,,HARDW,SCREWS & NUTS,"SCREW,NUT,FASTERNER,STANDOFF,WASHER"
,,,HWOTH,HARDWARE OTHERS,"COND PAD, SLEEVE, TUBING, WALL PLUG, ETC"
,,,SPRNG,METAL SPRINGS,"BATTERY SPRINGS, CUSTOM SPRINGS"
,,,WIRES,WIRES,WIRES
IDM,INDIRECT,INDIRECT MATERIALS,ADHES,ADHESIVES,"DOW CORNING, GLUE, LOCTITE"
,,,CHEM,"FLUX, IPA","FLUX, IPA, SOLVENT"
,,,NSTK,NON STK/PROD,NON STOCK & NON PRODUCT RELATED
,,,SOLDR,"BAR, PASTE","SOLDER BARS, PASTES"
,,,STATI,STATIONERY,"MARKERS, PENS ETC FOR PRODUCTION USE"
,,,TOOLS,TOOLS,"SOLDERING TIP, TEST PIN"
,,,WEAR,WEARINGS,"GLOVE, FINGER COTS, SMOCKS"
KIT,KIT,KIT,CUSTK,CUSTOMER KIT,CUSTOMER KIT
,,,Q&B,QUOTE & BUY,QUOTE & BUY
MAG,MAGNETIC PART,MAGNETIC PART,FUSE,FUSE,FUSE
,,,INDTR,INDUCTORS,"COILS,CHOKE,INDUCTOR,FERRITE BEAD"
,,,RELAY,RELAYS,RELAYS
MET,METAL PART,METAL PART,DCAST,DIECAST,"DIECAST, EXTRUSION"
,,,MCHNG,MACHINING,MACHINING PARTS
,,,STAMP,METAL STAMPING,METAL STAMPING
PAS,PASSIVE,PASSIVE COMPONENT,CAPS,CAPACITORS,CAPACITORS
,,,RES,RESISTORS,"RES, VARISTOR, ARRESTOR, POTENTIONMETER"
,,,XTAL,XTAL & OSC,"XTAL, OSCILLATOR, RESONATOR, SAW FILTER"
PCA,PCB ASSEMBLY,PCB ASSEMBLY,PCBA,PCB ASSEMBLY,PCB ASSEMBLY
PCB,PCB,PRINTED CIRCUIT BOARD,FLEXI,FLEX CIRCULT,FLEX CIRCULT
,,,RIGID,RAW BOARD,RAW BOARD
PER,PERIPHERALS,PERIPHERALS & STORAGE,PERIP,PERIP & STORAGE,"DAUGHTER/PCI CARD, HDD, POWER MODULE"
PKG,PACKAGING,PACKAGING MATERIAL,BAG,BAGS,"PE, ANTISTATIC, BUBBLE, ESD BAGS"
,,,CFOAM,FOAM+ADHSIVE,CUSTOM CUT-FOAM/GASKET/PAD WITH ADHESIVE
,,,INNBX,INNER CTN BOX,"GIFT/RIGID BOX, PRINTED/ACCESSORY BOX"
,,,LABEL,LABELS,GENERAL LABEL
,,,OUTBX,OUTER CTN BOX,"OUTER CARTON BOX, CORRUGATED"
,,,PACKG,PACKAGING,"ANGLE BAR, PARTITION, LAYER PAD"
,,,PALLT,PALLETS,PALLETS
,,,PAPER,PRINTED PAPER,"USER MANUAL,QUICK START GUIDE"
,,,PKWRP,PACK & WRAP,"FOAM, BUBBLE PACK, SHRINK WRAP , ETC"
,,,RTAIL,RETAIL PACKAGING,"PAPER PULP,VACUUM FORMED TRAY,CLAMSHELL"
,,,TAPE,RAW OR CUT-TAPE,PACKING TAPE/KAPTON TAPE/ADHESIVE TAPE
PLA,PLASTIC,PLASTIC PART,INJEC,PLAS INJECTION,"PLASTIC INJECTION, MOULDING"
,,,PLAMC,PLASTIC MCHNG,PLASTIC MACHINING ETC
RUB,RUBBER,RUBBER PART,RUBMD,RUB MOULDING,RUBBER MOULDING PART
,,,RUBOT,RUBBER OTHERS,NON MOULDED RUBBER
RWK,REWORK BOARD,REWORK BOARD,RWKBD,REWORK BOARD,REWORK BOARD
SA,SUB ASSEMBLY,SUB ASSEMBLY,SUBAS,SUB ASSEMBLY,SUB ASSEMBLY
SEV,SERVICED ITEM,SERVICED & REPAIRED,SERV,SERVICED ITEM,SERVICED & REPAIRED
SCN,SUBCONTRACT,SUBCONTRACT,SUBCO,SUBCONTRACT,SUBCONTRACT
TEM,TEMP ASSIGNED,TO BE ASSIGNED,TEMP,TEMP ASSIGNED,TO BE ASSIGNED
